week_start,contacts,workload_hours,on_phone_hours,rostered_hours,required_fte,on_phone_fte,supply_fte,intake,leavers,in_training,gap_fte,coverage_pct,base_cost,overtime_hours,overtime_cost,agency_hours,agency_cost,unmet_hours,unmet_fte,idle_hours,idle_cost,recruitment_cost,total_cost
2026-08-17,50694.84629353384,6899.560335264884,8095.2339191530145,11206.138279402827,302.86860214602234,218.79010592305445,329.29922884724647,30,1.7,29.8,26.430626701224128,108.72676352515442,216876.47211879655,0.0,0.0,0.0,0.0,0.0,0.0,977.933187945293,17407.210745426215,72000.0,288876.47211879655
2026-08-24,52435.91498478444,7143.933476697063,8323.71487472193,11522.421812143937,311.4168057336199,224.96526688437652,327.6071967353209,0,1.69,29.7,16.19039100170096,105.19894581911224,215762.09976988233,0.0,0.0,0.0,0.0,0.0,0.0,599.0444670629349,10662.991513720242,0.0,215762.09976988233
2026-08-31,46080.403950257634,6233.96641919555,7321.141639885315,10134.571329130002,273.90733321972976,197.8686929698734,325.923858760572,0,1.68,29.5,52.016525540842224,118.9905560137429,214653.4533797127,0.0,0.0,0.0,0.0,0.0,0.0,1924.6114450111618,34258.08372119868,0.0,214653.4533797127
2026-09-07,52856.816272706106,7192.500848121617,8379.52916203654,11599.684881730354,313.5049968035231,226.47376113612273,324.24917025007625,0,1.67,29.4,10.744173446553134,103.42711393952251,213550.50352670022,0.0,0.0,0.0,0.0,0.0,0.0,397.53441752246727,7076.112631899918,0.0,213550.50352670022
2026-09-14,61517.765932660055,8510.022284769306,9760.210159511142,13510.945548434227,365.1606904982224,263.7894637705714,322.5830867604521,30,1.67,59.1,-42.57760373777029,88.34003636051905,212453.22094043373,954.8459368109382,22944.94786156685,620.5254014865639,16788.93526262047,0.0,0.0,0.0,0.0,72000.0,324187.10406462103
2026-09-21,59206.12934800179,8181.887505057826,9459.866937792276,13095.183915419539,353.9238896059335,255.67207939979124,320.9255640766806,30,1.66,88.6,-32.998325529252895,90.67643453907733,211361.57650090184,949.9396696669745,22827.0502620974,270.99837491538267,7332.132031710594,0.0,0.0,0.0,0.0,72000.0,313520.7587947098
2026-09-28,58141.37072184229,7980.736476216136,9212.069856595364,12752.161294349246,344.653007955385,248.9748609890639,335.19215703413556,30,1.65,89.1,-9.46085092124946,97.25496348417938,220757.5546226817,350.0514840862288,8411.737162592079,0.0,0.0,0.0,0.0,0.0,0.0,72000.0,301169.29178527376
2026-10-05,55773.9921930365,7634.927806982214,8879.479657803973,12291.760545556512,332.2097444745003,239.98593669740467,333.46984539874927,0,1.64,88.6,1.2601009242489454,100.3793088388308,219623.2401796163,0.0,0.0,0.0,0.0,0.0,0.0,46.62373419721189,829.9024687103716,0.0,219623.2401796163
2026-10-12,56154.54490467817,7679.770512621209,8927.044469202921,12357.603961459447,333.9892962556607,241.2714721406195,331.75638348525274,0,1.63,88.2,-2.2329127704079497,99.33144181701599,218494.75416338746,82.61777250509294,1985.3050732973838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220480.05923668484
2026-10-19,54562.93231958515,7349.580634769728,8628.771167412375,11944.707694557175,322.8299376907345,233.2100315516858,342.87387919851403,0,1.62,87.7,20.04394150777955,106.20882364602173,225816.73684014133,0.0,0.0,0.0,0.0,0.0,0.0,741.6258357878432,13200.93987702361,0.0,225816.73684014133
2026-10-26,57969.98451476524,7866.11891163922,9062.82629783515,12545.565169582524,339.0693289076358,244.9412512928419,357.02769553599694,0,1.76,58.3,17.958366628361148,105.29637012177326,235138.44028000758,0.0,0.0,0.0,0.0,0.0,0.0,664.4595652493626,11827.380261438655,0.0,235138.44028000758
2026-11-02,58281.320681699035,7919.440113384918,9099.850779490574,12596.817729458806,340.45453322861636,245.94191295920473,371.108785581854,0,1.75,29.1,30.654252353237666,109.0039195726183,244412.24618420907,0.0,0.0,0.0,0.0,0.0,0.0,1134.2073370697926,20188.89059984231,0.0,244412.24618420907
2026-11-09,59223.66967185651,8047.643712195735,9221.888132964954,12765.752620277792,345.02034108858896,249.24021980986362,385.1175230242389,0,1.74,0.0,40.09718193564993,111.62168636467564,253638.40066376375,0.0,0.0,0.0,0.0,0.0,0.0,1483.595731619047,26408.004022819037,0.0,253638.40066376375
2026-11-16,63347.06457064978,8467.37877565509,9710.515786597605,13442.154205263805,363.3014650071299,262.4463726107461,395.9608341852163,0,1.73,0.0,32.65936917808642,108.98960569218885,260779.80539438347,0.0,0.0,0.0,0.0,0.0,0.0,1208.396659589198,21509.460540687724,0.0,260779.80539438347
2026-11-23,61921.35164736491,8342.859110697405,9545.337236822168,13213.499457536831,357.12160696045487,257.9820874816802,406.7484293618345,0,1.87,0.0,49.62682240137963,113.89633711154165,267884.51557770424,0.0,0.0,0.0,0.0,0.0,0.0,1836.1924288510454,32684.22523354861,0.0,267884.51557770424
2026-11-30,61582.44024429013,8364.041346839944,9512.556165251792,13168.121000949492,355.8951621878241,257.09611257437274,417.480594838501,0,2.01,0.0,61.58543265067692,117.30437476926848,274952.71976063674,0.0,0.0,0.0,0.0,0.0,0.0,2278.661008075045,40560.1659437358,0.0,274952.71976063674
2026-12-07,76026.5121684433,9704.094839347426,11080.598587692299,15338.743911828466,414.5606462656342,299.47563750519726,415.3354620513841,0,2.15,0.0,0.7748157857499223,100.1869004674538,273539.93530704157,0.0,0.0,0.0,0.0,0.0,0.0,28.668184072746953,510.2936764948958,0.0,273539.93530704157
2026-12-14,63604.9570324352,8620.521440552855,9773.891784344429,13529.884862764105,365.67256385848935,264.1592374147143,413.20135156022843,0,2.13,0.0,47.52878770173908,112.99763569906003,272134.41013756645,0.0,0.0,0.0,0.0,0.0,0.0,1758.5651449643465,31302.45958036537,0.0,272134.41013756645
2026-12-21,31474.842564229864,4067.6510875758863,5200.466254267002,7198.94502675242,194.56608180411945,140.55314200721628,411.07820672937527,0,2.12,0.0,216.51212492525582,211.27948043032015,270736.10695196653,0.0,0.0,0.0,0.0,0.0,0.0,8010.948622234465,142594.88547577348,0.0,270736.10695196653
2026-12-28,27168.204234549623,3452.395615600233,4485.284864160937,6208.92773603247,167.80885773060731,121.2239152475929,408.96597121417597,0,2.11,0.0,241.15711348356865,243.70940649075345,269344.9886416563,0.0,0.0,0.0,0.0,0.0,0.0,8922.81319889204,158826.0749402783,0.0,269344.9886416563
2027-01-04,63379.3665536389,8586.18995741552,9731.960127004539,13471.839356589959,364.1037663943232,263.025949378501,406.86458895949653,0,2.1,0.0,42.76082256517333,111.74413079782961,267961.0182887244,0.0,0.0,0.0,0.0,0.0,0.0,1582.150434911413,28162.277741423153,0.0,267961.0182887244
2027-01-11,79931.2206829123,10914.6448933674,12226.2962231988,16924.71984014531,457.42486054446783,330.4404384648324,404.77400419823,0,2.09,0.0,-52.650856346237845,88.48972566039194,266584.15916495427,1198.1310524267608,28791.089189815066,749.9506323840399,20290.664309782584,0.0,0.0,0.0,0.0,0.0,315665.91266455187
2027-01-18,83091.12421074671,10857.709402270511,12306.345761941862,17035.53148676553,460.41976991258184,332.6039395119422,402.6941614498165,0,2.08,0.0,-57.725608462765365,87.46239578858103,265214.3747308492,1191.9747178914567,28643.152470931713,943.8727952308618,25537.422347766198,0.0,0.0,0.0,0.0,0.0,319394.94954954705
2027-01-25,69650.77391670473,9502.69157989322,10645.371131645628,14736.263600059785,398.2773945962104,287.7127332877197,400.6250055187708,0,2.07,0.0,2.3476109225604205,100.58944116698878,263851.6286346625,0.0,0.0,0.0,0.0,0.0,0.0,86.8616041347359,1546.136553598299,0.0,263851.6286346625
2027-02-01,66377.37564318653,9027.742307333261,10129.149017935062,14021.663324527353,378.9638736358744,273.7607842685152,398.56648149321785,0,2.06,0.0,19.602607857343457,105.17268510828515,262495.88471143326,0.0,0.0,0.0,0.0,0.0,0.0,725.2964907217065,12910.277534846377,0.0,262495.88471143326
2027-02-08,66516.77700405863,9051.63965169357,10147.192387446134,14046.640551348317,379.6389338202248,274.2484429039496,396.518534743435,0,2.05,0.0,16.879600923210205,104.44622493097701,261147.1069820263,0.0,0.0,0.0,0.0,0.0,0.0,624.5452341587788,11116.905168026264,0.0,261147.1069820263
